symbol,symbol_normalized,name,paprika_id,market_cap_usd,bybit_categories
ZKL,ZKL,zkLink,zkl-zklink,1507822.00,spot
ALT,ALT,Alitas,alt-alitas,1424919.00,"linear,spot"
BRETT,BRETT,Brett (ETH),brett8-brett-eth,1420156.00,"linear,spot"
SKATE,SKATE,Skate,skate-skate,1394116.00,spot
NVDAX,NVDAX,NVIDIA tokenized stock (xStock),nvdax-nvidia-tokenized-stock-xstock,1352756.00,spot
SERAPH,SERAPH,Seraph,seraph-seraph,1319467.00,spot
CRCLX,CRCLX,Circle tokenized stock (xStock),crclx-circle-tokenized-stock-xstock,1299251.00,spot
ZEUS,ZEUS,Pepes Dog,zeus-pepes-dog,1288153.00,linear
YZY,YZY,Yeezy Coin,yzy-yeezy-coin,1286061.00,linear
PSTAKE,PSTAKE,pSTAKE Finance,pstake-pstake-finance,1284821.00,spot
SKY,SKY,Skycoin,sky-skycoin,1264997.00,"linear,spot"
MEE,MEE,Medieval Empires,mee-medieval-empires,1211033.00,spot
FITFI,FITFI,Step App - FITFI,fitfi-stepapp-fitfi,1161395.00,spot
SIDUS,SIDUS,Sidus,sidus-sidus,1100331.00,spot
